id,asignatura,credito_total,tipo_credito,horas_semanales,distribucion_horaria,distribucion_salon,prerrequisito,inscrito,porcentaje_aprobacion,porcentaje_retiro,porcentaje_reprobacion,estimados,num_grupos,codigo,carrera,semestre
236,MODELOS MATEMATICOS APLICADOS EN CADENAS DE SUMINISTRO,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",,OPTIMIZACION,1,0.9,0.1,0.0315,1,1,32510008,,
237,OPERATING SYSTEMS,3,3A,3,2 clases de 1:30 h,sala computo,"ALGORITMOS Y ESTRUCTURAS DE DATOS, ARQUITECTURA DEL COMPUTADOR",24,21.6,2.4,0.756,27,2,11310079,,
202,DISENO DE SISTEMAS DIGITALES,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",Laboratorio,"PROGRAMACION DE COMPUTADORES, FUNDAMENTOS DE CIRCUITOS, FUNDAMENTOS DE SISTEMAS DIGITALES",3,2.7,0.3,0.0945,3,1,32610003,IET1,
245,PROCESAMIENTO DE SENALES,2,1A + 1B,4,2 clases de 2:00 h,Sala de computo,"PROBABILIDAD Y ESTADISTICA 1, VARIABLE COMPLEJA, ESTADISTICA",5,4.5,0.5,0.1575,6,1,11310051,IET1,
252,SISTEMAS DE PRODUCCION Y SERVICIOS,3,3A,3,2 clases de 1:30 h,Salon Normal,PRECALCULO,14,12.6,1.4,0.441,16,1,32510003,IIN1,
251,SIMULACION,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",Sala de computo,ANALISIS ESTADISTICO DE DATOS,2,1.8,0.2,0.063,2,1,32510006,IIN1,
183,ANALISIS AVANZADO DE DATOS,2,1A + 1B,4,2 clases de 2:00 h,Sala de computo,ANALISIS ESTADISTICO DE DATOS,9,8.1,0.9,0.2835,10,1,11310066,MA01-MA02-MA03,
235,MODELING OF DYNAMICAL SYSTEMS,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",¿sala Tesla?,"ECUACIONES DIFERENCIALES, ALGEBRA LINEAL, ECUACIONES DIFERENCIALES",11,9.9,1.1,0.3465,12,1,11310040,MA02,6
257,TOPOLOGIA,3,3A,3,2 clases de 1:30 h,Salon Normal,ANALISIS REAL,29,26.1,2.9,0.9135,33,2,11310020,MA02,7
207,ECUACIONES DIFERENCIALES,,,,,"Una clase en Salon Normal, Una clase en sala","CALCULO 3, ALGEBRA LINEAL",19,17.1,1.9,0.5985,21,1,11310008,,
253,TEORIA DE GRAFOS,3,3A,3,2 clases de 1:30 h,Salon Normal,"ALGEBRA LINEAL, ALGEBRA LINEAL, ALGEBRA LINEAL",32,28.8,3.2,1.008,36,2,11310014,MA02,4
217,FOUNDATION PROJECT,3,1A + 2B,7,,"208 Casur, (Tesla)",,42,37.8,4.2,1.323,,,32510001,ISE1,
243,PROBABILIDAD Y ESTADISTICA 2,2,1A + 1B,4,2 clases de 2:00 h,"1 clase en salon normal, 1 clase en sala de computo",PROBABILIDAD Y ESTADISTICA 1,27,24.3,2.7,0.8505,31,2,11310033,MA02,4
214,FISICA 1,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h","2 clases salon normal, 1 laboratorio",PRECALCULO,122,109.8,12.2,3.843,138,6,73210064,ISE1,
205,ECONOMIA DE SISTEMAS DE ENERGIA,3,3A,3,2 clases de 1:30 h,Laboratorio Volta,ENERGIA Y MEDIO AMBIENTE,5,4.5,0.5,0.1575,6,1,32710004,ISE1,
255,TEORIA DE NUMEROS,3,3A,3,2 clases de 1:30 h,Salon Normal,"ALGEBRA LINEAL, LOGICA TEORIA DE NUMEROS Y CONJUNTOS",8,7.2,0.8,0.252,9,1,11310078,,
248,SEGURIDAD DE REDES,2,1A + 1B,4,2 clases de 2:00 h,Sala de computo,REDES DE COMPUTADORES,13,11.7,1.3,0.4095,15,1,11310060,MA01-MA02-MA03,
247,REDES DE COMPUTADORES,2,1A + 1B,4,2 clases de 2:00 h,Sala de computo,"PROGRAMACION DE COMPUTADORES, PROBABILIDAD Y ESTADISTICA 1",24,21.6,2.4,0.756,27,2,11310052,MA01-MA02-MA03-ISE1-IIN1-IET1,
194,CALCULO 3,2,2A,2,1 clases de 2:00 h,Salon Normal,CALCULO 2,26,23.4,2.6,0.819,29,2,11310036,MA02,4
190,BIG DATA,2,1A + 1B,4,2 clases de 2:00 h,Sala de computo,"REDES DE COMPUTADORES, ANALISIS ESTADISTICO DE DATOS",14,12.6,1.4,0.441,16,1,11310067,MA01-MA02-MA03,
206,ECUACIONES DIFERENCIALES,3,3A,3,2 clases de 1:30 h,"Una clase en Salon Normal, Una clase en sala","ALGEBRA LINEAL, CALCULO 3, CALCULO 3, ALGEBRA LINEAL",15,13.5,1.5,0.4725,17,1,11310034,MA02,5
209,ELEMENTOS DE FISICA,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",¿Tesla?,CALCULO 2,122,109.8,12.2,3.843,138,6,11310015,MA02,6
249,SEGURIDAD EN EL CICLO DE DESARROLLO DE SOFTWARE,2,1A + 1B,4,2 clases de 2:00 h,Sala de computo,INGENIERIA DE DATOS,12,10.8,1.2,0.378,14,1,11310061,MA01-MA02-MA03,
261,VARIABLE COMPLEJA,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h","1 clase en salon normal, 1 clase en sala de computo",CALCULO 3,32,28.8,3.2,1.008,36,2,11320005,MA03,
244,PROBABILIDAD Y ESTADISTICA 2,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h","1 clase en salon normal, 1 clase en sala de computo",PROBABILIDAD Y ESTADISTICA 1,14,12.6,1.4,0.441,16,1,11320006,MA03,
204,DISENO Y ARQUITECTURA DE SOFTWARE,3,3A,3,2 clases de 1:30 h,Sala de computo,INGENIERIA DE DATOS,19,17.1,1.9,0.5985,,,11320022,MA01-MA02-MA03,
201,DESARROLLO MOVIL,3,3A,3,2 clases de 1:30 h,Sala de computo,INGENIERIA DE DATOS,15,13.5,1.5,0.4725,17,1,11320024,MA01-MA02-MA03,
198,CONTABILIDAD Y MATEMATICAS FINANCIERAS,3,3A,3,2 clases de 1:30 h,Salon Normal,,17,15.3,1.7,0.5355,,,32510002,IIN1,
191,CADENAS DE SUMINISTRO SOSTENIBLES,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",,,3,2.7,0.3,0.0945,,,32510009,,
195,CALCULO 3,3,3A,3,2 clases de 1:30 h,Salon Normal,CALCULO 2,18,16.2,1.8,0.567,20,1,11320003,MA03,
181,ALGEBRA LINEAL,,,,,Salon Normal,CALCULO 1,7,6.3,0.7,0.2205,8,1,11310005,,
222,FUNDAMENTOS DE SISTEMAS DIGITALES,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",sala Tesla,PROGRAMACION DE COMPUTADORES,12,10.8,1.2,0.378,14,1,11310011,MA02,2
242,PROBABILIDAD Y ESTADISTICA 1,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",Salon normal,CALCULO 2,30,27,3,0.945,34,2,11310031,MA02,3
185,ANALISIS ESTADISTICO DE DATOS,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h","1 clase en salon normal, 1 clase en sala de computo","PROBABILIDAD Y ESTADISTICA 2, INGENIERIA DE DATOS, PROBABILIDAD Y ESTADISTICA 2, ESTADISTICA",36,32.4,3.6,1.134,41,2,11310013,MA02,5
211,ENERGIA Y MEDIO AMBIENTE,3,3A,3,2 clases de 1:30 h,Salon Normal,,10,9,1,0.315,,,32710001,ISE1,
256,TERMODINAMICA,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",Vernoulli,"QUIMICA I, CALCULO 2, FISICA 2",1,0.9,0.1,0.0315,1,1,32710006,ISE1,
259,TRABAJO DE GRADO 2,4,4A,4,2 clases de 2:00 h,,"TRABAJO DE GRADO 1, SEMINARIO DE GRADO",1,0.9,0.1,0.0315,1,1,11310055,ISE1,
188,APRENDIZAJE AUTOMATICO DE MAQUINA I,2,1A + 1B,4,2 clases de 2:00 h,Sala de computo,"PROBABILIDAD Y ESTADISTICA 1, ALGEBRA LINEAL, OPTIMIZACION, ALGEBRA LINEAL",23,20.7,2.3,0.7245,26,2,11310063,MA01-MA02-MA03-IIN1-ADM1,
246,PROGRAMACION DE COMPUTADORES,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",Sala de computo,,152,136.8,15.2,4.788,81,4,11310002,MA02,1
241,PRECALCULO,3,3A,3,2 clases de 1:30 h,Salon normal,,122,109.8,12.2,3.843,81,4,11310044,MA02,1
180,ALGEBRA LINEAL,3,3A,3,2 clases de 1:30 h,Salon Normal,CALCULO 1,59,53.1,5.9,1.8585,67,3,11310030,MA02,3
240,PENSAMIENTO MATEMATICO,2,2A,2,1 clases de 2:00 h,Salon Normal,,91,81.9,9.1,2.8665,81,4,11310025,MA02,1
231,LOGICA TEORIA DE NUMEROS Y CONJUNTOS,3,3A,3,2 clases de 1:30 h,Salon Normal,,81,72.9,8.1,2.5515,81,4,11310001,MA02,1
238,OPTIMIZACION,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h","Las clases de 1:30 en salon normal, la clase de 2:00 en sala de computo","ALGEBRA LINEAL, CALCULO 2, ALGEBRA LINEAL",37,33.3,3.7,1.1655,42,2,11310012,MA02,4
250,SEMINARIO DE GRADO,1,1A,1,,Salon normal,,22,19.8,2.2,0.693,,,11310028,MA02,8
218,FUNDAMENTOS DE CIRCUITOS,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",Laboratorio,PRECALCULO,13,11.7,1.3,0.4095,15,1,32610001,ISE1,
210,ELEMENTOS DE SISTEMAS ELECTRICOS,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",Laboratorio,"CALCULO 1, FUNDAMENTOS DE CIRCUITOS, ALGEBRA LINEAL",8,7.2,0.8,0.252,9,1,32710002,ISE1,
220,FUNDAMENTOS DE ENERGIAS RENOVABLES,2,1A + 1B,4,2 clases de 2:00 h,Salon Normal,ENERGIA Y MEDIO AMBIENTE,2,1.8,0.2,0.063,2,1,32710003,ISE1,
260,TRANSFERENCIA DE CALOR,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",,"MECANICA DE FLUIDOS, TERMODINAMICA",3,2.7,0.3,0.0945,3,1,32710009,ISE1,
199,CONTROL,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",Laboratorio,ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS,3,2.7,0.3,0.0945,3,1,32710008,ISE1,
221,FUNDAMENTOS DE MANUFACTURA DE SISTEMAS MECATRONICOS,2,1A + 1B,4,2 clases de 2:00 h,,,6,5.4,0.6,0.189,,,32610007,,
219,FUNDAMENTOS DE ELECTRONICA ANALOGA,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",Laboratorio,"CALCULO 1, FUNDAMENTOS DE CIRCUITOS, FISICA 1",4,3.6,0.4,0.126,5,1,32610002,IET1,
254,TEORIA DE LA COMPUTACION,3,3A,3,2 clases de 1:30 h,Salon Normal,"LOGICA TEORIA DE NUMEROS Y CONJUNTOS, LOGICA PARA CIENCIAS DE LA COMPUTACION",47,42.3,4.7,1.4805,53,3,11310007,MA02,4
187,ANALISIS REAL,3,3A,3,2 clases de 1:30 h,Salon Normal,"CALCULO 2, LOGICA TEORIA DE NUMEROS Y CONJUNTOS, PENSAMIENTO MATEMATICO, LOGICA Y MATEMATICAS DISCRETAS, CALCULO II",34,30.6,3.4,1.071,38,2,11310010,MA02,5
226,INTRODUCCION A LA VISION POR COMPUTADORA,2,1A + 1B,4,2 clases de 2:00 h,Sala de computo,"PROCESAMIENTO DE SENALES, APRENDIZAJE AUTOMATICO DE MAQUINA I",25,22.5,2.5,0.7875,28,2,11310065,MA01-MA02-MA03,
