Cod.Programa,Nombre Programa,Asignatura,Nombre Asignatura,Cod.Asig. Prerreq.,Nombre Asignatura Prerreq.
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,89510003.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 1,11310028.0,SEMINARIO DE GRADO
IIN1,INGENIERIA INDUSTRIAL,89510003.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 1,11310028.0,SEMINARIO DE GRADO
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,89510003.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 1,11310028.0,SEMINARIO DE GRADO
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,89510004.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 2,11310028.0,SEMINARIO DE GRADO
IET1,INGENIERIA ELECTRONICA,89510004.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 2,89510003.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 1
IIN1,INGENIERIA INDUSTRIAL,89510004.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 2,89510003.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 1
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,89510004.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 2,89510003.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 1
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,89510004.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 2,89510003.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 1
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,89510004.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 2,89510003.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 1
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,89510004.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 2,89510003.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 1
Correquisitos,,,,,
Nombre Programa,,,,,
Requisitos Detalle,,,,,
Id Asignatura,,,,,
